,E11.5_XX_1,E11.5_XX_2,E12.5_XX_1,E12.5_XX_2,E13.5_XX_1,E13.5_XX_2,E13.5_XX_3,E11.5_XY_1,E12.5_XY_1,E12.5_XY_2,E13.5_XY_1,E13.5_XY_2
Mtmr4,32.63,21.65,15.85,31.25,16.26,20.31,23.36,34.56,14.37,24.08,17.76,17.88
Mrm1,2.7,1.38,3.14,4.56,4.48,3.95,4.19,3.4,2.17,1.98,1.23,1.9
Mapt,5.8,2.98,1.98,3.37,1.24,2.56,2.8,4.46,1.56,3.58,4.99,5.54
Kansl1,43.3,25.58,23.65,52.18,23.89,45.24,49.49,39.77,24.29,38.2,50.96,43.52
Gid4,24.81,18.35,24.77,45.1,31.55,42.3,44.34,26.3,22.48,29.37,27.07,31
Myo1b,60.24,36.5,29.59,60.42,27.39,38.57,51.03,67.6,37.59,58.9,42.67,46.68
Dhx40,38.41,23.85,27.4,53.64,38.7,60.54,56.83,39.26,26.94,38.82,65.73,55.45
Ypel2,10.82,6.12,6.97,15.12,8.12,11.39,11.67,10.42,5.59,8.99,7.49,8.66
Akap1,23.21,19.67,29.84,40.75,21.79,25.65,32.93,22.38,22.91,30.11,20.14,29.99
Nol11,36.61,23.83,27.75,42.64,29.02,32.78,39.97,36.37,25.2,36.5,27.64,32.35
Derl2,22.72,13.51,16.31,23.97,26.88,15.9,23.14,25.29,12.93,23.28,15.33,20.46
C1qbp,148.64,109.91,143.31,207.46,170.69,131.62,126.69,163.84,157.66,185.65,139.96,172.45
Rpain,16.19,9.85,13.17,17.69,19.74,21.97,16.2,17.14,10.22,15.44,11.97,12.94
6330403K07Rik,55.14,44.41,24.17,25.12,24.45,19.7,26.65,61.67,24.75,35.58,34.6,35.7
Slc13a3,0.1,0.05,0.06,0.02,0.03,0.03,0.03,0.05,0.04,0.04,0.05,0.03
Kcnab3,4.25,2.38,3.43,5.37,3.78,4.31,2.65,3.37,2.02,2.87,2.35,2.08
Chd3,238.48,128.66,69.77,147.4,74.9,110.16,109.05,207.36,69.79,137.56,94.43,82.87
Kdm6b,22.5,16,7.71,12.16,7.08,8.97,14.76,21.61,10.16,14.43,15.79,15.85
1700125H20Rik,0.09,0.1,0.23,0.5,0.06,0.49,0.23,0.24,0.11,0.34,0.27,0.16
Appbp2,47.87,33.7,26.64,44.59,24.49,35.58,43.21,52.5,34.07,49.79,41.51,46.15
Wnt9b,2.64,0.82,0.05,0.09,0.04,0.02,0.01,1.52,0.05,0.09,0.08,0.05
Adora2b,0.31,0.13,0.19,0.54,0.54,0.26,0.36,0.38,0.29,0.41,0.86,0.82
Ncor1,180.1,115.83,78.23,167.63,60.05,107.5,156.06,163.17,88.22,152.8,121.81,117.96
Trpv2,0.52,0.26,0.08,0.14,0.1,0.28,0.16,0.46,0.07,0.23,0.44,0.16
Cenpv,7.5,9.96,23.74,17.08,29.74,23.85,38.98,8.25,28.32,18.31,20.1,28.3
Pcgf2,42.43,31.88,35,49.41,37.76,30.09,33.64,45.37,25.66,36.71,26.28,26.21
Cwc25,21.53,15.56,14.56,24.14,14.4,20.85,20.56,21.79,15.37,21.18,23.67,22.93
1700001P01Rik,0.2,0.06,0,0.11,0,0,0.17,0.18,0.37,0.48,0,0.3
Pip4k2b,49.62,23.26,19.22,65.56,15.36,31.57,30.69,58.39,22.2,48.61,35.77,36.84
Trim37,49.12,38.79,50.48,111.6,57.46,78.33,92.92,50.4,58.53,68.6,117,79.27
Ybx2,11.9,9.82,23.83,22.29,33.2,37.24,39.45,12.41,12.85,16.29,9.93,10.8
Ctdnep1,66.58,35.29,42.97,74.73,61.84,53.17,59.65,90.12,33.98,55.61,37.73,46.39
Elp5,49.2,31.84,35.27,46.93,60.29,58.78,60.71,57.37,33.73,49.95,35.31,47.42
Slc2a4,18.94,50.92,18.03,7.8,6.37,6.93,9.51,11.25,21.53,10.45,35.92,21.66
Gabarap,199.31,157.81,182,187.09,273.02,185.97,157.1,193.8,121.48,153.16,186.52,196.8
Cldn7,8.75,6.83,4.95,2.35,2.56,1.85,2.35,5.71,0.96,0.68,0.72,1.66
2810408A11Rik,13.92,9.41,8.16,5.4,7.75,8.78,10.45,13.86,4.8,5.66,3.66,4.71
Phf23,58.82,36.91,40.58,62.55,61.58,60.17,49.5,57.71,43.9,60.42,70.56,65.22
Acadvl,32.07,27.19,37.98,50.8,63.95,62.16,59.79,37.86,25.19,29.58,34.79,34.25
Dnah11,0.06,0.11,0.1,0.11,0.08,0.55,0.17,0.16,0.04,0.12,0.66,0.37
G3bp1,74.01,38.09,40.74,71.88,48.56,40.2,40.27,82.09,46.97,83.68,52.71,62.23
Atox1,33.45,14.32,24.14,45.84,69.28,50.37,30.12,42.39,14.7,34.3,16.23,15.03
Glra2,0.1,0.04,0,0,0,0,0,0.04,0.01,0,0,0
Sparc,458.12,363.13,299.4,446.57,383.19,363.06,403.24,711.46,886.31,980.23,727.11,796.14
Glra4,0,0,0,0.04,0,0,0,0.03,0,0.03,0,0
Mief2,8.36,5.11,6.64,11.28,10.41,6.51,7.36,9.3,6.82,8.25,10.28,9.97
Tbx3,22.78,7.89,1.47,2.63,2.07,3.21,3.2,21.14,2.1,3.76,1.66,2.44
Mmp20,0.01,0,0,0,0,0,0,0.01,0,0,0,0
Mmp7,0,0,0.11,0,0,0,0,0,0,0,0,0
Crhr1,0,0,0,0,0,0,0.02,0,0.78,1.48,2.84,3.23
Dusp14,2.42,1.86,2.86,3.61,4.81,3.92,3.57,2.84,4.54,5.39,4.9,5.74
Tada2a,32.64,22.69,28.3,32.72,23.61,26.1,29.85,37.64,29.43,38.45,21.38,30.76
Ikzf1,2.4,1.2,0.76,1.86,1.83,2.97,4.48,1.5,0.41,0.42,0.29,0.5
Fam115e,0,0,0,0,0,0,0,0,0,0.05,0,0
Pnpo,14.11,3.81,4.86,11.93,13.83,9.77,7.79,12.75,3.78,9.28,8.8,6.52
Cog1,13.11,7.37,6.26,8.82,8.02,7.51,7.13,15.63,8.51,14.43,7.76,9.27
Cbx1,121.83,106.8,101.97,110.54,84.07,97.01,109.36,134.16,130.99,121.86,67.03,114.29
Cdk5rap3,42.04,25.28,31.58,42.57,41.29,35.58,36.03,48.8,32.88,46.26,33.71,40.89
Copz2,22.26,10.2,10.99,19.81,24.38,16.43,15.04,28.91,27.95,34.44,35.83,30.8
Slc25a39,61.51,45.67,65.66,98.24,104.95,59.35,68.47,68.45,51.44,65.84,50.25,67.41
Sp2,13.51,7.1,7.82,13.21,11.66,12.51,10.08,12.07,7.83,14.75,11.15,10.18
Aatf,46.94,39.59,52.49,84.64,65.67,63.9,64.75,51.93,70.43,78.88,75.5,79.31
Lhx1,2.96,1.7,2.33,3.54,0.83,0.99,1.36,2.8,8.12,10.18,3.81,5.28
Dync1h1,108.09,69.18,82.45,77.8,59.82,83.88,128.5,126.08,82.51,122.53,128.88,83.81
Cpsf4l,2.01,1.75,5.32,5.2,3.08,2.18,2.1,2.56,5.74,8.04,6.67,6.65
Pex12,9.14,5.69,8.02,12.59,12.33,12.79,12.16,9.52,6.02,10.51,7.04,8.41
