,E11.5_XX_1,E11.5_XX_2,E12.5_XX_1,E12.5_XX_2,E13.5_XX_1,E13.5_XX_2,E13.5_XX_3,E11.5_XY_1,E12.5_XY_1,E12.5_XY_2,E13.5_XY_1,E13.5_XY_2
Ndel1,44.08,38.78,39.57,63.08,37.98,61.72,68.09,41.47,51.34,54.63,86.7,66.64
Slc25a35,2.44,2.88,2.98,2.05,2.22,2.36,2.26,1.87,3.19,2.98,6.57,5.42
Zbtb4,2.57,1.99,2.35,3.1,2.62,3.26,3.71,2.32,1.23,2.18,2.04,2.34
Tnfsf12Tnfsf13,2.86,1.74,1.82,3.62,4.91,2.98,2.81,3.72,1.36,2.71,2.02,2.25
Mpdu1,26.99,18.3,23.97,29.2,35.49,22.39,29.82,32.26,19.68,26.83,23.49,26.02
Fxr2,67.64,45.74,45.71,74.94,59.42,88.38,58.97,73.61,56.67,77.68,89.4,70.33
Atp5g3,194.02,123.23,156.09,206.67,239.09,188.25,198.31,245.28,131.98,192.94,128.7,166.06
Cd68,5.16,3.5,1.87,2.97,2.14,1.49,2.17,5.57,1.2,2.46,1.83,2.02
Slc35g3,0.12,0.2,0.1,0.21,0.07,0.6,0.25,0.14,0.1,0.18,0.14,0.1
Acsl1,8.25,6.34,12.83,24.48,17.18,23.97,22.36,8.53,10.07,10.86,15.43,9.64
Abca5,6.51,3.16,2.75,5.16,2.36,6.25,7.48,5.06,1.89,3.2,2.74,2.72
Smyd4,10.18,7.63,10.48,13.35,6.88,11.24,14.34,7.29,8.38,8.56,14.3,11.63
Lsp1,136.04,84.56,46.84,54.09,112.49,67.22,66.31,170.19,95.53,176.68,173.88,155.82
Zfyve27,20.85,12.56,11.85,17.21,13.54,17.06,21.68,22.53,10.24,16.02,11.58,15.49
Avpi1,4.99,3.61,4.23,4.91,5.83,3.69,4.64,4.96,4.31,3.99,4.61,4.51
