"","x"
"726","Emd"
"727","Eme2"
"728","Emid1"
"729","Emilin1"
"730","Emilin2"
"731","Eml1"
"732","Eml4"
"733","Emp1"
"734","Emp2"
"735","Emp3"
"736","Emx2"
"737","Endod1"
"738","Engase"
"739","Eno3"
"740","Enox2"
"741","Enpp3"
"742","Epb41l1"
"743","Epb41l4a"
"744","Epb42"
"745","Epcam"
"746","Epha3"
"747","Epha4"
"748","Ephb2"
"749","Epn3"
"750","Eppin"
"751","Eps8l1"
"752","Eps8l2"
"753","Erbin"
"754","Ereg"
"755","Erg28"
"756","Erich1"
"757","Erlin1"
"758","Erp29"
"759","Errfi1"
"760","Esr1"
"761","Esyt2"
"762","Etfa"
"763","Etfb"
"764","Ethe1"
"765","Etnk1"
"766","Ets1"
"767","Eva1b"
"768","Evc"
"769","Evi5"
"770","Exoc3l4"
"771","Exosc5"
"772","F2rl1"
"773","Fadd"
"774","Fam102b"
"775","Fam110c"
"776","Fam117a"
"777","Fam124a"
"778","Fam136a"
"779","Fam149a"
"780","Fam161a"
"781","Fam162a"
"782","Fam168a"
"783","Fam171a1"
"784","Fam171b"
"785","Fam177a"
"786","Fam178b"
"787","Fam199x"
"788","Fam20c"
"789","Fam221a"
"790","Fam221b"
"791","Fam43a"
"792","Fam76b"
"793","Fam81a"
"794","Fam83g"
"795","Fam98c"
"796","Fancl"
"797","Far1"
"798","Fat4"
"799","Fblim1"
"800","Fbln1"
"801","Fbxl12"
"802","Fbxl15"
"803","Fbxl17"
"804","Fbxo30"
"805","Fbxo31"
"806","Fbxo36"
"807","Fbxo4"
"808","Fbxo45"
"809","Fbxo47"
"810","Fbxo6"
"811","Fbxw17"
"812","Fcgrt"
"813","Fcho2"
"814","Fdps"
"815","Fem1b"
"816","Fer"
"817","Fermt2"
"818","Fez1"
"819","Fgd2"
"820","Fgfr1"
"821","Fgfr2"
"822","Fhl2"
"823","Fhl3"
"824","Fibin"
"825","Fig4"
"826","Fkbp1b"
"827","Fkbp4"
"828","Fkbp6"
"829","Flad1"
"830","Fli1"
"831","Flnc"
"832","Flrt1"
"833","Flrt2"
"834","Flrt3"
"835","Flywch2"
"836","Fmc1"
"837","Fmnl2"
"838","Fmnl3"
"839","Fmod"
"840","Fmr1"
"841","Fn1"
"842","Fndc3c1"
"843","Fndc4"
"844","Fndc5"
"845","Fnip2"
"846","Fnta"
"847","Fos"
"848","Foxc2"
"849","Foxp1"
"850","Foxp2"
"851","Foxred1"
"852","Frat1"
"853","Frem1"
"854","Frg2f1"
"855","Frk"
"856","Frmd4b"
"857","Frmd5"
"858","Frmd6"
"859","Frmpd1"
"860","Fsd1"
"861","Fst"
"862","Fstl1"
"863","Fuca2"
"864","Fxyd2"
"865","Fzd1"
"866","Fzd2"
"867","Fzd4"
"868","Gabra3"
"869","Gabra4"
"870","Gabrb1"
"871","Gal"
"872","Gal3st3"
"873","Galc"
"874","Galk1"
"875","Galns"
"876","Gamt"
"877","Gap43"
"878","Gapvd1"
"879","Gart"
"880","Gas1"
"881","Gas6"
"882","Gata1"
"883","Gata3"
"884","Gata5"
"885","Gata6"
"886","Gbp2"
"887","Gbp2b"
"888","Gcat"
"889","Gcc2"
"890","Gcfc2"
"891","Gck"
"892","Gclm"
"893","Gdap2"
"894","Gdf1"
"895","Gdf11"
"896","Gdf6"
"897","Gdpd1"
"898","Gdpd5"
"899","Gemin6"
"900","Get1"
"901","Gfpt2"
"902","Gfra2"
"903","Gfra3"
"904","Gga2"
"905","Ggt5"
"906","Ggta1"
"907","Ghr"
"908","Gid4"
"909","Gid8"
"910","Gipc2"
"911","Gja4"
"912","Gjb5"
"913","Gjc1"
"914","Gk"
"915","Gk5"
"916","Gkap1"
"917","Gla"
"918","Glb1l"
"919","Glb1l3"
"920","Glcci1"
"921","Glipr2"
"922","Glmn"
"923","Glrb"
"924","Glrx"
"925","Glrx5"
"926","Gls"
"927","Glul"
"928","Gm10256"
"929","Gm13539"
"930","Gm14322"
"931","Gm15446"
"932","Gm17660"
"933","Gm20878"
"934","Gm21083"
"935","Gm266"
"936","Gm3055"
"937","Gm32687"
"938","Gm3604"
"939","Gm45871"
"940","Gm4779"
"941","Gm5617"
"942","Gm6169"
"943","Gm826"
"944","Gmcl1"
"945","Gmppa"
"946","Gmpr2"
"947","Gmps"
"948","Gnai1"
"949","Gnaq"
"950","Gnas"
"951","Gng11"
"952","Gng13"
"953","Gng2"
"954","Gng3"
"955","Gngt2"
"956","Gnl1"
"957","Golga5"
"958","Golim4"
"959","Golm1"
"960","Gopc"
"961","Got1"
"962","Gpat2"
"963","Gpat3"
"964","Gpc2"
"965","Gpc3"
"966","Gpha2"
"967","Gpi1"
"968","Gpm6a"
"969","Gpn3"
"970","Gpr160"
"971","Gpr182"
"972","Gpr45"
"973","Gpr85"
"974","Gprc5c"
"975","Gpsm3"
"976","Gpx8"
"977","Grb10"
"978","Grb7"
"979","Grhpr"
"980","Grina"
"981","Grip1"
"982","Grk4"
"983","Grk5"
"984","Grtp1"
"985","Gsap"
"986","Gse1"
"987","Gsn"
"988","Gstk1"
"989","Gstt1"
"990","Gtf2a1"
"991","Gtf3c6"
"992","Gtsf1"
"993","Gucy1a1"
"994","Gucy1a2"
"995","Gucy1b1"
"996","Guf1"
"997","Gulp1"
"998","Gxylt1"
"999","Gxylt2"
"1000","Gypa"
"1001","Gypc"
"1002","H1f0"
"1003","H2-DMb1"
"1004","H2-Ke6"
"1005","H2-T22"
"1006","H2ac13"
"1007","H2ac18"
"1008","H2bc27"
"1009","H3c13"
"1010","H3f3b"
"1011","H4c8"
"1012","H6pd"
"1013","Haao"
"1014","Habp2"
"1015","Hacd1"
"1016","Hacd4"
"1017","Hacl1"
"1018","Hadha"
"1019","Hagh"
"1020","Hapln1"
"1021","Hapln3"
"1022","Hba-a1"
"1023","Hba-a2"
"1024","Hba-x"
"1025","Hbb-bh1"
"1026","Hbb-bt"
"1027","Hbb-y"
"1028","Hdac11"
"1029","Hdac3"
"1030","Hdac7"
"1031","Hdac8"
"1032","Hddc3"
"1033","Hdgfl3"
"1034","Hebp1"
"1035","Heg1"
"1036","Helb"
"1037","Herc6"
"1038","Herpud2"
"1039","Hes1"
"1040","Hexb"
"1041","Hexdc"
"1042","Hey1"
"1043","Hgf"
"1044","Hibch"
"1045","Hif3a"
"1046","Hip1r"
"1047","Hipk1"
"1048","Hlx"
"1049","Hmcn1"
"1050","Hmgn2-ps"
"1051","Hmgn3"
"1052","Hmgxb4"
"1053","Hmox2"
"1054","Hnmt"
"1055","Hnrnpa0"
"1056","Hnrnph2"
"1057","Hnrnpll"
"1058","Hnrnpul2"
"1059","Homer1"
"1060","Homer3"
"1061","Hook3"
"1062","Hoxa10"
"1063","Hoxa2"
"1064","Hoxa5"
"1065","Hoxa7"
"1066","Hoxa9"
"1067","Hoxb2"
"1068","Hoxb5"
"1069","Hoxb6"
"1070","Hoxb7"
"1071","Hoxb8"
"1072","Hoxc10"
"1073","Hoxc4"
"1074","Hoxc6"
"1075","Hoxc8"
"1076","Hoxc9"
"1077","Hoxd10"
"1078","Hoxd4"
"1079","Hoxd8"
"1080","Hoxd9"
"1081","Hpn"
"1082","Hprt"
"1083","Hpse"
"1084","Hs2st1"
"1085","Hs3st3a1"
"1086","Hs3st3b1"
"1087","Hsbp1l1"
"1088","Hsd17b10"
"1089","Hsd17b13"
"1090","Hsd17b14"
"1091","Hsd17b2"
"1092","Hsd17b4"
"1093","Hsd3b6"
"1094","Hsdl2"
"1095","Hsf2bp"
"1096","Hspa12a"
"1097","Hspa1b"
"1098","Hspa8"
"1099","Hspb8"
"1100","Hsph1"
"1101","Htra3"
"1102","Hunk"
"1103","Hvcn1"
"1104","Hyal1"
"1105","Ica1"
"1106","Icosl"
"1107","Id4"
"1108","Idh1"
"1109","Idh3a"
"1110","Ier5"
"1111","Ifit2"
"1112","Ifit3"
"1113","Ifitm1"
"1114","Ifitm2"
"1115","Ifitm3"
"1116","Ifnar1"
"1117","Ifngr1"
"1118","Ifngr2"
"1119","Ift22"
"1120","Ift43"
"1121","Ift74"
"1122","Ift81"
"1123","Igdcc4"
"1124","Igf1"
"1125","Igf2"
"1126","Igf2bp1"
"1127","Igf2bp2"
"1128","Igf2bp3"
"1129","Igfbp2"
"1130","Igfbp4"
"1131","Igfbp5"
"1132","Igfbp6"
"1133","Ighmbp2"
"1134","Igsf11"
"1135","Il10rb"
"1136","Il11ra1"
"1137","Il13ra1"
"1138","Il15"
"1139","Il17re"
"1140","Il18"
"1141","Il1rap"
"1142","Il2rg"
"1143","Il34"
"1144","Il6ra"
"1145","Il6st"
"1146","Immp1l"
"1147","Immp2l"
"1148","Impact"
"1149","Inava"
"1150","Inf2"
"1151","Ing4"
"1152","Inka1"
"1153","Inpp5a"
"1154","Inpp5f"
"1155","Insig2"
"1156","Insl6"
"1157","Insyn1"
"1158","Ints6l"
"1159","Ints8"
"1160","Ints9"
"1161","Ip6k1"
"1162","Ipmk"
"1163","Ipo5"
"1164","Ipo9"
"1165","Iqcb1"
"1166","Iqcc"
"1167","Iqsec1"
"1168","Irag1"
"1169","Irak1bp1"
"1170","Irf1"
"1171","Irf2bp2"
"1172","Irf5"
"1173","Irf6"
"1174","Irf8"
"1175","Irgm2"
"1176","Irs1"
"1177","Irx3"
"1178","Isl1"
"1179","Islr"
"1180","Isoc1"
"1181","Itga1"
"1182","Itga5"
"1183","Itga6"
"1184","Itgb1bp1"
"1185","Itm2a"
"1186","Itm2c"
"1187","Itpr2"
"1188","Itprid2"
"1189","Jakmip1"
"1190","Jarid2"
"1191","Jmjd7"
"1192","Jrkl"
"1193","Jtb"
"1194","Kalrn"
"1195","Kank4"
"1196","Kansl1l"
"1197","Kat2b"
"1198","Katnal1"
"1199","Kazn"
"1200","Kcna5"
"1201","Kcnab1"
"1202","Kcnd2"
"1203","Kcne1l"
"1204","Kcne4"
"1205","Kcnip1"
"1206","Kcnip4"
"1207","Kcnk10"
"1208","Kcnk3"
"1209","Kcnn2"
"1210","Kcnq1"
"1211","Kcns3"
"1212","Kctd15"
"1213","Kctd20"
"1214","Kdelr3"
"1215","Kdf1"
"1216","Kdm6b"
"1217","Kdr"
"1218","Keap1"
"1219","Kif12"
"1220","Kif16b"
"1221","Kif1a"
"1222","Kif1b"
"1223","Kif3a"
"1224","Kif7"
