"","x"
"941","Gatb"
"942","Gatd3a"
"943","Gatm"
"944","Gcc1"
"945","Gcc2"
"946","Gchfr"
"947","Gcn1"
"948","Gcnt1"
"949","Gen1"
"950","Get3"
"951","Gfpt1"
"952","Gfra1"
"953","Ggct"
"954","Gins1"
"955","Gipc2"
"956","Glce"
"957","Gldn"
"958","Gle1"
"959","Glipr2"
"960","Glyr1"
"961","Gm10184"
"962","Gm11808"
"963","Gm12166"
"964","Gm20604"
"965","Gm21992"
"966","Gm2a"
"967","Gm32687"
"968","Gmeb2"
"969","Gmfb"
"970","Gnb4"
"971","Gng12"
"972","Golga2"
"973","Golgb1"
"974","Golm2"
"975","Golph3l"
"976","Gorasp1"
"977","Gpalpp1"
"978","Gpank1"
"979","Gpat2"
"980","Gpbp1l1"
"981","Gpc1"
"982","Gpc4"
"983","Gpc6"
"984","Gpi1"
"985","Gpn1"
"986","Gpr107"
"987","Gpr137b"
"988","Gpr37"
"989","Gprasp2"
"990","Gprc5b"
"991","Gpsm1"
"992","Gpsm2"
"993","Gpx3"
"994","Gpx8"
"995","Grb10"
"996","Grb7"
"997","Grem2"
"998","Grhpr"
"999","Grtp1"
"1000","Gsg1l"
"1001","Gspt2"
"1002","Gsta3"
"1003","Gstm1"
"1004","Gstm2"
"1005","Gstm6"
"1006","Gstm7"
"1007","Gstt2"
"1008","Gtf2a2"
"1009","Gtf2b"
"1010","Gtf2f1"
"1011","Gtf2h1"
"1012","Gtf2h2"
"1013","Gtf2h5"
"1014","Gtf3c1"
"1015","Gtf3c2"
"1016","Gtpbp1"
"1017","Gtpbp2"
"1018","Gtpbp3"
"1019","Gtse1"
"1020","Gucd1"
"1021","Gulp1"
"1022","Gys1"
"1023","H13"
"1024","H2-Ab1"
"1025","H2ax"
"1026","H2bc24"
"1027","H2bc4"
"1028","H3f3b"
"1029","Habp4"
"1030","Hacd2"
"1031","Hace1"
"1032","Hamp2"
"1033","Hap1"
"1034","Hapln3"
"1035","Hars2"
"1036","Haspin"
"1037","Haus6"
"1038","Haus7"
"1039","Hax1"
"1040","Hcfc1"
"1041","Hdac4"
"1042","Hdc"
