"","x"
"1161","Sec24c"
"1162","Zdhhc2"
"1163","Tnrc18"
"1164","Uhrf1bp1"
"1165","Icmt"
"1166","Nploc4"
"1167","Dnajc11"
"1168","Hip1"
"1169","Sinhcaf"
"1170","Phtf2"
"1171","Baz2a"
"1172","Pclaf"
"1173","Zfp704"
"1174","Suco"
"1175","Zfp770"
"1176","Rprd1a"
"1177","Os9"
"1178","Manea"
"1179","Ckap5"
"1180","Efhd2"
"1181","Rad54l2"
"1182","Cyp2s1"
"1183","Ino80d"
"1184","Rcc2"
"1185","Ssr2"
"1186","Ccnb1"
"1187","Zfp281"
"1188","Gcn1"
"1189","Tdrkh"
"1190","Rnpep"
"1191","Rimoc1"
"1192","Znrf3"
"1193","Tlk1"
"1194","Arsb"
"1195","Adrm1b"
"1196","Chchd7"
"1197","Ammecr1"
"1198","Lyn"
"1199","Arel1"
"1200","Snx18"
"1201","Gatad2b"
"1202","Sdhaf3"
"1203","Dhx9"
"1204","Hecw2"
"1205","Foxo4"
"1206","Nhlrc3"
"1207","Mob1a"
"1208","Setx"
"1209","Fem1a"
"1210","Pde12"
"1211","Aqp5"
"1212","Dnajc21"
"1213","Cxxc4"
"1214","Zfp758"
"1215","Dpy19l4"
"1216","Cenpe"
"1217","Trrap"
"1218","Ppp1r15b"
"1219","Cep295"
"1220","Yod1"
"1221","Bex3"
"1222","Hnrnpa1"
"1223","4930430F08Rik"
"1224","Cldn12"
"1225","Ckap4"
"1226","Mbtps2"
"1227","Atxn1"
"1228","Zbtb21"
"1229","Tapt1"
"1230","Tmem164"
"1231","Cltc"
"1232","Abhd17b"
"1233","Tnrc6b"
"1234","Ino80c"
"1235","Arf1"
"1236","Taf13"
"1237","Mcmbp"
"1238","Rbm33"
"1239","Tlcd5"
"1240","Mlec"
"1241","Dcun1d3"
"1242","Slc39a9"
"1243","Armcx3"
"1244","Pdp1"
"1245","Aff4"
"1246","Proser1"
"1247","Spty2d1"
"1248","Zfp668"
"1249","Sertad2"
"1250","Zfp697"
"1251","Bex1"
"1252","Nsun3"
"1253","Tor1aip2"
"1254","Ubald2"
"1255","Tmem123"
"1256","Bzw1"
"1257","Nup160"
"1258","Ywhag"
"1259","Plagl2"
"1260","Zfp24"
"1261","B3gnt2"
"1262","Klf13"
"1263","Opa3"
"1264","Immt"
"1265","Ccdc171"
"1266","Rnf103"
"1267","Nup107"
"1268","Ddx10"
"1269","Pom121"
"1270","Zfp943"
"1271","Ggcx"
"1272","Chd8"
"1273","H2-T24"
"1274","Cggbp1"
"1275","Hmgb2"
"1276","Ddx17"
"1277","Mrfap1"
"1278","Sec23ip"
"1279","Cd47"
"1280","Cpsf6"
"1281","Fancm"
"1282","Cldn23"
"1283","Zfp709"
"1284","Pgm3"
"1285","R3hdm1"
"1286","Tgoln1"
"1287","Cspp1"
"1288","Dph6"
"1289","Rbbp4"
"1290","Prdm2"
"1291","Megf6"
"1292","Xlr3a"
"1293","Ube2e2"
"1294","Rpl5"
"1295","Tmed9"
"1296","0610030E20Rik"
"1297","B3gnt8"
"1298","9430015G10Rik"
"1299","Kif13b"
"1300","Golm2"
"1301","Ppih"
"1302","Irak2"
"1303","Ctnna3"
"1304","Arl1"
"1305","Trim55"
"1306","Cdh3"
"1307","Exoc5"
"1308","Fiz1"
"1309","Nol4l"
"1310","Mospd2"
"1311","Ppp4r1"
"1312","Nsl1"
"1313","H2bc12"
"1314","Alg11"
"1315","Snrnp70"
"1316","Zkscan8"
"1317","Clasp1"
"1318","Zfp979"
"1319","Vkorc1l1"
"1320","Amn1"
"1321","Aup1"
"1322","Cep152"
"1323","Gng5"
"1324","Urm1"
"1325","Fam8a1"
"1326","Epc2"
"1327","Rgma"
"1328","Top1"
"1329","Dnajc25"
"1330","Zfp827"
"1331","Atp5md"
"1332","Ganab"
"1333","Sms"
"1334","Phf20l1"
"1335","Vma21"
"1336","Cep76"
"1337","Klhl21"
"1338","Zfp568"
"1339","Arfip1"
"1340","Pdzd8"
"1341","Ube2n"
"1342","Gas2l3"
"1343","Inafm2"
"1344","Yae1d1"
"1345","Rprm"
"1346","Selenot"
"1347","Nrarp"
"1348","Ddi2"
"1349","Bnip3"
"1350","Trappc2"
"1351","Med12"
"1352","Haus3"
"1353","Ulbp1"
"1354","Brms1"
"1355","Spaca6"
"1356","Esrp2"
"1357","Eid1"
"1358","Lsm5"
"1359","Yy2"
"1360","Tomm20"
"1361","Atf7"
