,E11.5_XX_WT_rep1,E11.5_XX_WT_rep2,E11.5_XY_WT_rep1,E12.5_XX_WT_rep1,E12.5_XX_WT_rep2,E12.5_XY_WT_rep1,E12.5_XY_WT_rep2,E13.5_XX_WT_rep1,E13.5_XX_WT_rep2,E13.5_XX_WT_rep3,E13.5_XY_WT_rep1,E13.5_XY_WT_rep2
Gm23463,0,0,0,0,0,0,0,0,0,0,0,0
Gm25107,0,0,0,0,0,0,0,0,0,0,0,0
Gm25104,0,0,0,0,0,0,0,0,0,0,0,0
Gm25102,0,0,0,0,0,0,0,0,0,0,0,0
Gm23429,0,0,0,0,0,0,0,0,0,0,0,0
LOC115487345,0,0,0,0,0,0,0,0,0,0,0,0
Gm26255,0,0,0,0,0,0,0,0,0,0,0,0
Gm26253,0,0,0,0,0,0,0,0,0,0,0,0
Gm26251,0,0,0,0,0,0,0,0,0,0,0,0
Gm26256,0,0,0,0,0,0,0,0,0,0,0,0
Gm26257,0,0,0,0,0,0,0,0,0,0,0,0
Gm24595,0,0,0,0,0,0,0,0,0,0,0,0
Gm24596,0,0,0,0,0,0,0,0,0,0,0,0
Gm24592,0,0,0,0,0,0,0,0,0,0,0,0
Gm24593,0,0,0,0,0,0,0,0,0,0,0,0
Mir1907,0,0,0,0,0,0,0,0,0,0,0,0
Gm24598,0,0,0,0,0,0,0,0,0,0,0,0
Gm22958,0,0,0,0,0,0,0,0,0,0,0,0
Gm22960,0,0,0,0,0,0,0,0,0,0,0,0
Gm25784,0,0,0,0,0,0,0,0,0,0,0,0
Gm25783,0,0,0,0,0,0,0,0,0,0,0,0
Gm26424,0,0,0,0,0,0,0,0,0,0,0,0
Gm23787,0,0,0,0,0,0,0,0,0,0,0,0
Gm22106,0,0,0,0,0,0,0,0,0,0,0,0
Gm22107,0,0,0,0,0,0,0,0,0,0,0,0
Gm25323,0,0,0,0,0,0,0,0,0,0,0,0
Gm25322,0,0,0,0,0,0,0,0,0,0,0,0
Gm23792,0,0,0,0,0,0,0,0,0,0,0,0
Gm25321,0,0,0,0,0,0,0,0,0,0,0,0
Mir1893,0,0,0,0,0,0,0,0,0,0,0,0
Mir1902,0,0,0,0,0,0,0,0,0,0,0,0
Gm22480,0,0,0,0,0,0,0,0,0,0,0,0
Gm24183,0,0,0,0,0,0,0,0,0,0,0,0
Mir1903,0,0,0,0,0,0,0,0,0,0,0,0
Gm24185,0,0,0,0,0,0,0,0,0,0,0,0
Mir1906-1,0,0,0,0,0,0,0,0,0,0,0,0
DQ267100,0,0,0,0,0,0,0,0,0,0,0,0
Gm25269,0,0,0,0,0,0,0,0,0,0,0,0
Gm24839,0,0,0,0,0,0,0,0,0,0,0,0
Gm24840,0,0,0,0,0,0,0,0,0,0,0,0
Gm25270,0,0,0,0,0,0,0,0,0,0,0,0
Gm24836,0,0,0,0,0,0,0,0,0,0,0,0
Mir1906-2,0,0,0,0,0,0,0,0,0,0,0,0
Gm26478,0,0,0,0,0,0,0,0,0,0,0,0
Mir1895,0,0,0,0,0,0,0,0,0,0,0,0
Mir1901,0,0,0,0,0,0,0,0,0,0,0,0
Gm26479,0,0,0,0,0,0,0,0,0,0,0,0
Gm23656,0,0,0,0,0,0,0,0,0,0,0,0
Gm23655,0,0,0,0,0,0,0,0,0,0,0,0
Gm23661,0,0,0,0,0,0,0,0,0,0,0,0
Mir1896,0,0,0,0,0,0,0,0,0,0,0,0
Mir1898,0,0,0,0,0,0,0,0,0,0,0,0
Gm22345,0,0,0,0,0,0,0,0,0,0,0,0
Gm23111,0,0,0,0,0,0,0,0,0,0,0,0
Gm22205,0,0,0,0,0,0,0,0,0,0,0,0
Gm23118,0,0,0,0,0,0,0,0,0,0,0,0
Gm22208,0,0,0,0,0,0,0,0,0,0,0,0
Gm22073,0,0,0,0,0,0,0,0,0,0,0,0
Gm25045,0,0,0,0,0,0,0,0,0,0,0,0
Gm25106,0,0,0,0,0,0,0,0,0,0,0,0
Gm25112,0,0,0,0,0,0,0,0,0,0,0,0
Gm23887,0,0,1.95,0,0,0,0,0,0,0,0,0
Gm23889,0,0,0,0,0,0,0,0,0,0,0,0
Gm24381,0,0,0,0,0,0,0,0,0,0,0,0
Gm24382,0,0,0,0,0,0,0,0,0,0,0,0
